Personentyp;Status;Begrüssung;Titel;Vorname;Nachname;Geschlecht;Funktion;Firmenname;Kundentyp;Strasse;Nummer;Land;Ort;PLZ;Telefon geschäftlich;Telefon mobil;Telefon privat;Fax;EMail;Geburtsdatum;Abteilung;Versicherungsnummer;Nationalität;Eintrittsdatum;Austrittsdatum;Beschäftigungsgrad;Kaderstufe;Lehrjahre;Lehrjahr
Mitarbeiter;Aktiv;Frau;;Connie;Michaels;weiblich;Technischer Support;;;Im Grund;120.3571429;Deutschland;St. Augustin;53756;12345655;55819269;19467383;;connie.michaels@beispielfirma.de;;Rechnungswesen;123.1234.1234.69;Deutschland;32254;;60;2;;
Mitarbeiter;Aktiv;Frau;;Karin;Koppes;weiblich;Rechnungswesen;;;Hunnebeckweg;107.6190476;Deutschland;Bonn;53177;98766754;56112894;10562382;;karin.koppes@beispielfirma.de;;Vertrieb;123.1234.1234.85;Deutschland;35925;;80;4;;
Mitarbeiter;Aktiv;Frau;;Luise;Klammer;weiblich;Verkauf;;;Am Alten Brauhaus;69.4047619;Deutschland;Bonn;53113;12341756;86756251;2547881.1;;luise.lehne@beispielfirma.de;;Vertrieb;123.1234.1234.133;Deutschland;37094;;80;5;;
Mitarbeiter;Aktiv;Herr;Dr;Max;Muster;männlich;Einkauf;;;Oberdorfstrasse;171.3095238;Deutschland;Bonn;53120;43567890;19467383;39948885.3;;max.muster@admin.ch;;Geschäftsführung;123.1234.1234.134;Deutschland;;;100;0;;
Mitarbeiter;Aktiv;Herr; ;Mario;Richter;männlich;Einkaufsleitung;; ;Fabrikstrasse;158.5714286;Deutschland;Bonn;53122;43567890;99746228;34605884.7; ;mario.richter@produktion.ch;;Rechnungswesen;123.1234.1234.21;Deutschland;44045;;60;0;;
Mitarbeiter;Aktiv;Herr;;Hagen;Ross;männlich;Verkaufsleitung;;;Rennbahnstraße;152.202381;Deutschland;Bonn;53123;43567890;99746228;31934384.4;;hagen.ross@beispielfirma.de;;Einkauf;123.1234.1234.29;Deutschland;31461;;100;1;;
Mitarbeiter;Aktiv;Herr;;Patrick;Roberts;männlich;Technischer Support;;;Modersohnstraße;145.8333333;Deutschland;Bonn;53229;98761462;99746228;29262884.1;;p.roberts@beispielfirma.de;;Vertrieb;123.1234.1234.37;Deutschland;32436;;80;2;;
Mitarbeiter;Aktiv;Herr;;Stefan;Hummer;männlich;Rechnungswesen;;;Wielandplatz;139.4642857;Deutschland;Bonn;53175;98120421;99746228;26591383.8;;stefanhummer@beispielfirma.de;;Verwaltung;123.1234.1234.45;Deutschland;33817;;60;3;;
Mitarbeiter;Aktiv;Herr;;David;Gerhard;männlich;Verkauf;;;Merkenicher Ringstraße;133.0952381;Deutschland;Bonn;52115;67294738;48892768;23919883.5;;dave.g@beispielfirma.de;;Geschäftsführung;123.1234.1234.53;Deutschland;31971;;100;4;;
Mitarbeiter;Aktiv;Herr;;Eduard;Weinert;männlich;Einkauf;;;Bundesgrenzschutzplatz;126.7261905;Deutschland;Bonn;53177;78646193;32675491;19467383;;eduard.weinert@beispielfirma.de;;Support;123.1234.1234.61;Deutschland;39466;;80;1;;
Mitarbeiter;Aktiv;Herr;;Bernd;Osser;männlich;Einkaufsleitung;;;Bismarckstraße;113.9880952;Deutschland;Köln;50732;27913020;93728815;19467383;;b.osser@beispielfirma.de;;Einkauf;123.1234.1234.77;Deutschland;34855;;100;3;;
Mitarbeiter;Aktiv;Herr;;Alexander;Wilding;männlich;Verkaufsleitung;;;Zypressenweg;101.25;Deutschland;Bonn;53229;28652947;12432673;10562382;;alex.wilding@beispielfirma.de;;Verwaltung;123.1234.1234.93;Deutschland;38898;;60;1;;
Mitarbeiter;Aktiv;Herr;;Peter;Schmidt;männlich;Technischer Support;;;Auf dem Hunnenrücken;94.88095238;Deutschland;Köln;50997;68371020;17582964;7890881.7;;p.schmidt@beispielfirma.de;;Geschäftsführung;123.1234.1234.101;Deutschland;37199;;100;5;;
Mitarbeiter;Aktiv;Herr;;Ole;Müller;männlich;Rechnungswesen;;;Machabäerstraße;88.51190476;Deutschland;Köln;50823;682037741;99234713;5219381.4;;o.mueller@beispielfirma.de;;Support;123.1234.1234.109;Deutschland;36221;;80;0;;
Mitarbeiter;Aktiv;Herr;;Wilhelm;Meier;männlich;Verkauf;;;In der Daslade;82.14285714;Deutschland;Bonn;53229;91821573;19684375;2547881.1;;willi.meier@beispielfirma.de;;Rechnungswesen;123.1234.1234.117;Deutschland;34548;;60;5;;
Mitarbeiter;Aktiv;Herr;;Martin;Schiff;männlich;Einkauf;;;Winston-Churchill-Straße;75.77380952;Deutschland;Bonn;53127;65744583;82675271;2547881.1;;martin.schiff@beispielfirma.de;;Einkauf;123.1234.1234.125;Deutschland;37527;;100;4;;
Mitarbeiter;Aktiv;Herr;;Kevin;Remsen;männlich;Einkaufsleitung;;;Hanfgartenstraße;63.03571429;Deutschland;Köln;50672;94128882;86957248;2547881.1;;kevin.remsen@beispielfirma.de;;Verwaltung;123.1234.1234.141;Deutschland;37988;;60;2;;
Lernender;Aktiv;Herr;;Bernd;Osser;männlich;Prüffeld;;;Bismarckstraße;113.9880952;Deutschland;Köln;50732;27913020;93728815;19467383;;b.osser@beispielfirma.de;;Prüffeld;123.1234.1234.77;Deutschland;34855;;100;3;1;4
Lernender;Aktiv;Herr;;Alexander;Wilding;männlich;Prüffeld;;;Zypressenweg;101.25;Deutschland;Bonn;53229;28652947;12432673;10562382;;alex.wilding@beispielfirma.de;;Prüffeld;123.1234.1234.93;Deutschland;38898;;100;1;2;4
Lernender;Aktiv;Herr;;Peter;Schmidt;männlich;Prüffeld;;;Auf dem Hunnenrücken;94.88095238;Deutschland;Köln;50997;68371020;17582964;7890881.7;;p.schmidt@beispielfirma.de;;Prüffeld;123.1234.1234.101;Deutschland;37199;;100;5;3;4
Lernender;Aktiv;Herr;;Ole;Müller;männlich;Prüffeld;;;Machabäerstraße;88.51190476;Deutschland;Köln;50823;682037741;99234713;5219381.4;;o.mueller@beispielfirma.de;;Prüffeld;123.1234.1234.109;Deutschland;36221;;100;0;4;4
Lernender;Aktiv;Herr;;Wilhelm;Meier;männlich;Prüffeld;;;In der Daslade;82.14285714;Deutschland;Bonn;53229;91821573;19684375;2547881.1;;willi.meier@beispielfirma.de;;Prüffeld;123.1234.1234.117;Deutschland;34548;;100;5;1;4
Lernender;Aktiv;Herr;;Martin;Schiff;männlich;Prüffeld;;;Winston-Churchill-Straße;75.77380952;Deutschland;Bonn;53127;65744583;82675271;2547881.1;;martin.schiff@beispielfirma.de;;Prüffeld;123.1234.1234.125;Deutschland;37527;;100;4;2;4
